draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2019,48,Terance Mann,Terance Mann,680.0,2.833147111912785,11.946666666666667
2019,49,Quinndary Weatherspoon,Quinndary Weatherspoon,7401.0,3.869349080759093,-1.958095238095238
2019,50,Jarrell Brantley,Jarrell Brantley,0.0,0.0,-1.3266666666666667
2019,51,Tremont Waters,Tremont Waters,28375.0,4.452951175463887,-1.5295238095238093
2019,52,Jalen McDaniels,Jalen McDaniels,2892.0,3.461348433647983,4.8723809523809525
2019,53,Justin Wright-Foreman,Justin Wright-Foreman,9378.0,3.9721565358594937,-0.936190476190476
2019,54,Marial Shayok,Marial Shayok,11469.0,4.059563417901268,-0.9266666666666667
2019,55,Kyle Guy,Kyle Guy,348508.0,5.542213997928627,-0.6161904761904762
2019,56,Jaylen Hands,Jaylen Hands,61516.0,4.788995148067529,-0.6047619047619047
2019,57,Jordan Bone,Jordan Bone,2759.0,3.4409090820652177,-0.44593837535014014
2019,58,Miye Oni,Miye Oni,6671.0,3.824256037629682,0.23489495798319326
2019,59,Dewan Hernandez,Dewan Hernandez,10068.0,4.002986340856785,-0.7290003501400559
2019,60,Vanja Marinković,Vanja Marinković,11182.0,4.048558324898481,-0.9085084033613445
2020,1,Anthony Edwards,Anthony Edwards (basketball),110659.0,5.043990665878134,-1.1984126984126995
2020,2,James Wiseman,James Wiseman,170751.0,5.232365799228399,-12.44404761904762
2020,3,LaMelo Ball,LaMelo Ball,1106230.0,6.043845824572758,-4.526666666666667
2020,4,Patrick Williams,Patrick Williams (basketball),5809.0,3.7641761323903307,-5.80952380952381
2020,5,Isaac Okoro,Isaac Okoro,24465.0,4.388562971398075,-0.44190476190476247
2020,6,Onyeka Okongwu,Onyeka Okongwu,65538.0,4.816499810592357,5.966666666666667
2020,7,Killian Hayes,Killian Hayes,52600.0,4.720994000624342,-11.640952380952383
2020,8,Obi Toppin,Obi Toppin,204172.0,5.309998310100051,1.7028571428571428
2020,9,Deni Avdija,Deni Avdija,156658.0,5.194955349987336,-0.8666666666666654
2020,10,Jalen Smith,Jalen Smith,27785.0,4.443826031377537,-0.1533333333333342
2020,11,Devin Vassell,Devin Vassell,5235.0,3.718999637878718,-0.017142857142857792
2020,12,Tyrese Haliburton,Tyrese Haliburton,27825.0,4.444450780793918,18.0
2020,13,Kira Lewis Jr.,Kira Lewis Jr.,7287.0,3.862608363964942,-7.17047619047619
2020,14,Aaron Nesmith,Aaron Nesmith,4656.0,3.668106237932731,-0.33142857142857185
2020,15,Cole Anthony,Cole Anthony,298918.0,5.475553520703065,1.4390476190476198
2020,16,Isaiah Stewart,Isaiah Stewart,34013.0,4.531657707374614,3.8409523809523805
2020,17,Aleksej Pokusevski,Aleksej Pokuševski,23664.0,4.3741065088040125,-7.324761904761905
2020,18,Josh Green,Josh Green (basketball),34815.0,4.541778873682067,0.736190476190477
2020,19,Saddiq Bey,Saddiq Bey,16671.0,4.2219877016194305,6.864761904761904
2020,20,Precious Achiuwa,Precious Achiuwa,43046.0,4.633942890311289,1.4533333333333331
2020,21,Tyrese Maxey,Tyrese Maxey,41999.0,4.623249290397901,14.783809523809524
2020,22,Zeke Nnaji,Zeke Nnaji,10293.0,4.012584163914151,-1.9971428571428564
2020,23,Leandro Bolmaro,Leandro Bolmaro,6650.0,3.8228869478341507,-7.579999999999999
2020,24,R.J. Hampton,R. J. Hampton,132394.0,5.1218715839449755,-6.077142857142857
2020,25,Immanuel Quickley,Immanuel Quickley,24686.0,4.392468317043854,11.771428571428572
2020,26,Payton Pritchard,Payton Pritchard,52666.0,4.721538580925315,5.626666666666667
2020,27,Udoka Azubuike,Udoka Azubuike,86960.0,4.939324525236297,-4.397894736842105
2020,28,Jaden McDaniels,Jaden McDaniels,31444.0,4.4975515990645665,4.956390977443608
2020,29,Malachi Flynn,Malachi Flynn,20272.0,4.3069180203772985,-3.1845614035087726
2020,30,Desmond Bane,Desmond Bane,4472.0,3.650598898172657,14.175438596491228
2020,31,Tyrell Terry,Tyrell Terry,2136.0,3.3298045221640695,-4.626466165413532
2020,32,Vernon Carey Jr.,Vernon Carey Jr.,70980.0,4.851142113515697,-3.989523809523809
2020,33,Daniel Oturu,Daniel Oturu,12263.0,4.088632141846319,-3.4285714285714284
