draft_year,pick,player,wiki_title,resolved,views_predraft,months_with_data
2020,15,Cole Anthony,Cole Anthony,True,298918.0,11
2020,16,Isaiah Stewart,Isaiah Stewart,True,34013.0,11
2020,17,Aleksej Pokusevski,Aleksej Pokuševski,True,23664.0,11
2020,18,Josh Green,Josh Green (basketball),True,34815.0,11
2020,19,Saddiq Bey,Saddiq Bey,True,16671.0,6
2020,20,Precious Achiuwa,Precious Achiuwa,True,43046.0,11
2020,21,Tyrese Maxey,Tyrese Maxey,True,41999.0,11
2020,22,Zeke Nnaji,Zeke Nnaji,True,10293.0,7
2020,23,Leandro Bolmaro,Leandro Bolmaro,True,6650.0,5
2020,24,R.J. Hampton,R. J. Hampton,True,132394.0,11
2020,25,Immanuel Quickley,Immanuel Quickley,True,24686.0,11
2020,26,Payton Pritchard,Payton Pritchard,True,52666.0,11
2020,27,Udoka Azubuike,Udoka Azubuike,True,86960.0,11
2020,28,Jaden McDaniels,Jaden McDaniels,True,31444.0,11
2020,29,Malachi Flynn,Malachi Flynn,True,20272.0,5
2020,30,Desmond Bane,Desmond Bane,True,4472.0,6
2020,31,Tyrell Terry,Tyrell Terry,True,2136.0,2
2020,32,Vernon Carey Jr.,Vernon Carey Jr.,True,70980.0,11
2020,33,Daniel Oturu,Daniel Oturu,True,12263.0,5
2020,34,Théo Maledon,Théo Maledon,True,21705.0,11
2020,35,Xavier Tillman Sr.,Xavier Tillman,True,43444.0,11
2020,36,Tyler Bey,Tyler Bey,True,6096.0,6
2020,37,Vít Krejčí,Vít Krejčí,True,0.0,0
2020,38,Saben Lee,Saben Lee,True,1281.0,3
2020,39,Elijah Hughes,Elijah Hughes,True,6087.0,5
2020,40,Robert Woodard II,Robert Woodard II,True,2017.0,6
2020,41,Tre Jones,Tre Jones,True,88304.0,11
2020,42,Nick Richards,Nick Richards,True,3729.0,11
2020,43,Jahmi'us Ramsey,Jahmi'us Ramsey,True,10111.0,9
2020,44,Marko Simonovic,"Marko Simonović (basketball, born 1986)",True,5036.0,11
2020,45,Jordan Nwora,Jordan Nwora,True,36880.0,11
2020,46,CJ Elleby,C. J. Elleby,True,2170.0,4
2020,47,Yam Madar,Yam Madar,True,8521.0,11
2020,48,Nico Mannion,Nico Mannion,True,146386.0,11
2020,49,Isaiah Joe,Isaiah Joe,True,5118.0,7
2020,50,Skylar Mays,Skylar Mays,True,6305.0,6
2020,51,Justinian Jessup,Justinian Jessup,True,1995.0,11
2020,52,KJ Martin,KJ Williams,True,0.0,0
2020,53,Cassius Winston,Cassius Winston,True,102893.0,11
2020,54,Cassius Stanley,Cassius Stanley,True,80147.0,11
2020,55,Jay Scrubb,Jay Scrubb,True,19651.0,9
2020,56,Grant Riller,Grant Riller,True,2762.0,6
2020,57,Reggie Perry,Reggie Perry (basketball),True,14156.0,11
2020,58,Paul Reed,Paul Reed (basketball),True,3049.0,6
2020,59,Jalen Harris,Jalen Harris,True,2033.0,4
2020,60,Sam Merrill,Sam Merrill,True,13293.0,11
