Year,Rd,Pk,Tm,Player,College,Yrs,WS,WS/48
2006,1,19,SAC,Quincy Douby,Rutgers University,3,0.0,.000
2006,1,20,NYK,Renaldo Balkman,South Carolina,6,7.2,.113
2006,1,21,PHO,Rajon Rondo,Kentucky,16,61.8,.104
2006,1,22,NJN,Marcus Williams,UConn,4,0.0,-.001
2006,1,23,NJN,Josh Boone,UConn,4,9.1,.097
2006,1,24,MEM,Kyle Lowry,Villanova,20,112.4,.147
2006,1,25,CLE,Shannon Brown,Michigan State,9,9.2,.060
2006,1,26,LAL,Jordan Farmar,UCLA,10,13.9,.068
2006,1,27,PHO,Sergio Rodríguez,,5,4.3,.039
2006,1,28,DAL,Maurice Ager,Michigan State,4,-0.9,-.089
2006,1,29,NYK,Mardy Collins,Temple,4,-1.6,-.027
2006,1,30,POR,Joel Freeland,,3,3.2,.084
2006,3,31,POR,James White,Cincinnati,3,0.8,.062
2006,3,32,HOU,Steve Novak,Marquette,11,14.5,.123
2006,3,33,ATL,Solomon Jones,South Florida,8,5.0,.078
2006,3,34,LAC,Paul Davis,Michigan State,4,0.5,.035
2006,3,35,TOR,P.J. Tucker,Texas,14,43.3,.083
2006,3,36,MIN,Craig Smith,Boston College,6,16.0,.113
2006,3,37,MIN,Bobby Jones,Washington,2,1.1,.060
2006,3,38,GSW,Kosta Perović,,1,0.0,.060
2006,3,39,MIL,David Noel,UNC,1,0.4,.024
2006,3,40,SEA,Denham Brown,UConn,,,
2006,3,41,ORL,James Augustine,Illinois,2,0.3,.101
2006,3,42,CLE,Daniel Gibson,Texas,7,16.0,.082
2006,3,43,NOK,Marcus Vinicius,,2,0.2,.056
2006,3,44,ORL,Lior Eliyahu,,,,
2006,3,45,IND,Alexander Johnson,Florida State,2,1.5,.056
2006,3,46,UTA,Dee Brown,Illinois,2,0.1,.008
2006,3,47,UTA,Paul Millsap,Louisiana Tech,16,95.4,.150
2006,3,48,WAS,Vladimir Veremeenko,,,,
2006,3,49,DEN,Leon Powe,California,5,12.0,.174
2006,3,50,CHA,Ryan Hollins,UCLA,10,10.4,.081
2006,3,51,LAL,Cheikh Samb,,2,-0.1,-.056
2006,3,52,LAC,Guillermo Díaz,Miami (FL),1,0.0,.033
2006,3,53,SEA,Yotam Halperin,,,,
